S.No,Category,title,categoryName,address,street,city,neighborhood,postalCode,state,countryCode,phone,phoneUnformatted,website,totalScore,reviewsCount,placeId,url,permanentlyClosed,temporarilyClosed,price,description,source
1,Food & Cafes,Batra Bakers - Best bakery Shop in Malviya Nagar,Bakery,"Shop No. 24, Old Market, Malviya Nagar, New Delhi, Delhi 110017, India",Shop No. 24,New Delhi,"Old Market, Malviya Nagar",110017.0,Delhi,IN,+91 98100 56210,919810056210.0,,3.6,413.0,ChIJ0cWqiBziDDkR4Mz4RASHB_A,https://www.google.com/maps/search/?api=1&query=Batra%20Bakers%20-%20Best%20bakery%20Shop%20in%20Malviya%20Nagar&query_place_id=ChIJ0cWqiBziDDkR4Mz4RASHB_A,False,False,₹200–400,,Original scrape (files 1-3)
2,Food & Cafes,CHILL-E-PEPPER,Fast food restaurant,"SHOP NO 7 MCD SHOP, Main Rd, opp. VANHUESEN SHOWROOM ON, Malviya Nagar, New Delhi, Delhi 110017, India","SHOP NO 7 MCD SHOP, Main Rd, opp. VANHUESEN SHOWROOM ON",New Delhi,"Old Market, Malviya Nagar",110017.0,Delhi,IN,+91 63066 67336,916306667336.0,,4.1,148.0,ChIJ_WQpCmLjDDkRJk3S9BCs9E4,https://www.google.com/maps/search/?api=1&query=CHILL-E-PEPPER&query_place_id=ChIJ_WQpCmLjDDkRJk3S9BCs9E4,False,False,₹1–200,,Original scrape (files 1-3)
3,Food & Cafes,"Domino's Pizza | Malviya Nagar, New Delhi",Pizza restaurant,"Old Market, C-7, Malviya Nagar, New Delhi, Delhi 110017, India",,New Delhi,"Old Market, C-7, Malviya Nagar",110017.0,Delhi,IN,+91 1800 208 1234,,https://dominos.co.in/,3.9,4088.0,ChIJyynPBhziDDkRg3mmnoyaPvs,https://www.google.com/maps/search/?api=1&query=Domino's%20Pizza%20%7C%20Malviya%20Nagar%2C%20New%20Delhi&query_place_id=ChIJyynPBhziDDkRg3mmnoyaPvs,False,False,₹200–600,"Delivery, carryout & dine-in chain offering a wide range of pizzas, plus a variety of other dishes & sides.",Original scrape (files 1-3)
4,Food & Cafes,DosaZZ,Vegetarian restaurant,"ground floor, Main Market, A-78, Old Market, Malviya Nagar, New Delhi, Delhi 110017, India","ground floor, Main Market, A-78",New Delhi,"Old Market, Malviya Nagar",110017.0,Delhi,IN,,,,5.0,3.0,ChIJtWUwmXrhDDkRwnFskh2c5jk,https://www.google.com/maps/search/?api=1&query=DosaZZ&query_place_id=ChIJtWUwmXrhDDkRwnFskh2c5jk,False,False,,,Original scrape (files 1-3)
5,Food & Cafes,Downtown Dubai,Middle Eastern restaurant,"Main Market, 18, Malviya Nagar, New Delhi, Delhi 110017, India","Main Market, 18",New Delhi,"Old Market, Malviya Nagar",110017.0,Delhi,IN,+91 98991 30755,919899130755.0,http://downtowndubai.co.in/,4.8,270.0,ChIJY2AiIzLjDDkRHSr9SIlAGjU,https://www.google.com/maps/search/?api=1&query=Downtown%20Dubai&query_place_id=ChIJY2AiIzLjDDkRHSr9SIlAGjU,False,False,"₹200–1,200",,Original scrape (files 1-3)
6,Food & Cafes,Giani ice cream,Ice cream shop,"Main Market, Shop No-4 A-78, Guru Gobind Singh Marg, Malviya Nagar, New Delhi, Delhi 110017, India","Main Market, Shop No-4 A-78, Guru Gobind Singh Marg",New Delhi,"Old Market, Block C, Malviya Nagar",110017.0,Delhi,IN,+91 96500 30333,919650030333.0,https://gianiicecream.in/,4.2,607.0,ChIJSRQJBBziDDkRdvtD2diu39Y,https://www.google.com/maps/search/?api=1&query=Giani%20ice%20cream&query_place_id=ChIJSRQJBBziDDkRdvtD2diu39Y,False,False,,"Modern ice cream parlour chain serving frozen desserts including kulfi, faluda & sundaes.",Original scrape (files 1-3)
7,Food & Cafes,Haldiram's - Malviya Nagar,Family restaurant,"Plot No. C-9, Main Market, Malviya Nagar, New Delhi, Delhi 110017, India","Plot No. C-9, Main Market",New Delhi,"Old Market, Block C, Malviya Nagar",110017.0,Delhi,IN,+91 8071 890 164,918071890164.0,https://hrstores.haldiram.com/haldiram-s-malviya-nagar-restaurants-malviya-nagar-new-delhi-395070/Home?utm_source=locator&utm_medium=googleplaces,4.3,9177.0,ChIJ4dVaMAb7DDkRHk-rgcglZoE,https://www.google.com/maps/search/?api=1&query=Haldiram's%20-%20Malviya%20Nagar&query_place_id=ChIJ4dVaMAb7DDkRHk-rgcglZoE,False,False,,,Original scrape (files 1-3)
8,Food & Cafes,KFC,Chicken restaurant,"327 NW Garden Valley Blvd, Roseburg, OR 97470",327 NW Garden Valley Blvd,Roseburg,,97470.0,Oregon,US,(541) 673-5010,15416735010.0,https://locations.kfc.com/or/roseburg/327-northwest-garden-valley-boulevard,3.6,575.0,ChIJfZuau8YixFQRyrOE03nwtRg,https://www.google.com/maps/search/?api=1&query=KFC&query_place_id=ChIJfZuau8YixFQRyrOE03nwtRg,False,False,$10–20,"Restaurant chain known for its buckets of fried chicken, plus combo meals & sides.",Original scrape (files 1-3)
9,Food & Cafes,Moti Sweets मोती स्वीट्स,Candy store,"17 Main Market, Malviya Nagar, New Delhi, Delhi 110017, India",17 Main Market,New Delhi,"Old Market, Malviya Nagar",110017.0,Delhi,IN,+91 93100 00073,919310000073.0,http://motisweets.com/,4.0,3989.0,ChIJhfXX-R7iDDkRyxEY27pNkDU,https://www.google.com/maps/search/?api=1&query=Moti%20Sweets%20%E0%A4%AE%E0%A5%8B%E0%A4%A4%E0%A5%80%20%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A5%80%E0%A4%9F%E0%A5%8D%E0%A4%B8&query_place_id=ChIJhfXX-R7iDDkRyxEY27pNkDU,False,False,,,Original scrape (files 1-3)
10,Food & Cafes,Nazeer Foods,Mughlai restaurant,"C-5, Guru Gobind Singh Marg, Block C, Malviya Nagar, New Delhi, Delhi 110017, India","C-5, Guru Gobind Singh Marg, Block C, Malviya Nagar",New Delhi,"Old Market, Block C, Malviya Nagar",110017.0,Delhi,IN,+91 98917 47171,919891747171.0,https://nazeerfoods.com/,3.8,1992.0,ChIJ0bzrABziDDkRPeeJtFp9Xqs,https://www.google.com/maps/search/?api=1&query=Nazeer%20Foods&query_place_id=ChIJ0bzrABziDDkRPeeJtFp9Xqs,False,False,"₹200–1,000",,Original scrape (files 1-3)
